id,label
0,"64,65,90"
1,"3,17,168"
2,"3,73,300"
3,"0,8,216"
4,"10,220,418"
5,"8,206,418"
6,"44,418,455"
7,"3,21,200"
8,"24,49,418"
9,"3,21,154"
10,"59,220,340"
11,"54,145,502"
12,"3,169,311"
13,"27,418,456"
14,"214,216,418"
15,"44,418,455"
16,"64,80,448"
17,"3,21,56"
18,"64,80,418"
19,"10,220,418"
20,"43,64,323"
21,"0,26,89"
22,"5,6,228"
23,"40,152,160"
24,"208,220,455"
25,"40,131,159"
26,"3,21,85"
27,"64,80,323"
28,"3,17,18"
29,"13,204,418"
30,"64,323,418"
31,"3,50,66"
32,"40,131,159"
33,"23,26,251"
34,"25,220,454"
35,"3,21,66"
36,"3,5,301"
37,"10,11,419"
38,"3,4,7"
39,"40,139,155"
40,"26,214,216"
41,"3,5,108"
42,"135,138,374"
43,"214,216,387"
44,"11,12,61"
45,"40,163,468"
46,"17,21,168"
47,"10,11,419"
48,"186,441,494"
49,"54,64,145"
50,"8,270,418"
51,"3,56,167"
52,"10,44,220"
53,"3,30,340"
54,"3,85,301"
55,"21,40,187"
56,"11,64,90"
57,"3,33,60"
58,"118,231,404"
59,"3,21,30"
60,"11,13,401"
61,"64,80,524"
62,"213,214,271"
63,"3,30,379"
64,"3,208,418"
65,"3,40,187"
66,"40,131,226"
67,"43,64,323"
68,"3,17,18"
69,"53,187,208"
70,"64,323,473"
71,"64,220,524"
72,"21,40,127"
73,"21,40,127"
74,"10,220,221"
75,"214,340,455"
76,"34,187,200"
77,"214,313,456"
78,"30,49,418"
79,"10,25,220"
80,"64,80,90"
81,"17,168,320"
82,"10,11,12"
83,"296,300,306"
84,"3,49,60"
85,"23,40,251"
86,"40,131,159"
87,"21,40,127"
88,"23,26,455"
89,"3,21,523"
90,"64,323,418"
91,"25,220,454"
92,"8,216,418"
93,"4,7,435"
94,"24,40,216"
95,"40,131,132"
96,"49,141,323"
97,"40,160,395"
98,"24,25,220"
99,"26,89,455"
100,"26,231,418"
101,"40,88,106"
102,"23,49,405"
103,"3,108,301"
104,"335,418,455"
105,"8,270,313"
106,"3,53,216"
107,"24,49,64"
108,"216,271,418"
109,"8,206,418"
110,"3,5,108"
111,"169,311,350"
112,"3,4,7"
113,"34,187,220"
114,"25,220,418"
115,"141,311,418"
116,"21,108,187"
117,"8,220,242"
118,"40,54,146"
119,"21,127,187"
120,"3,50,200"
121,"3,265,418"
122,"10,11,419"
123,"21,40,127"
124,"3,7,53"
125,"3,21,53"
126,"208,418,455"
127,"23,40,145"
128,"0,271,456"
129,"59,208,340"
130,"64,322,478"
131,"170,171,311"
132,"23,145,336"
133,"21,40,187"
134,"3,30,66"
135,"25,44,496"
136,"214,271,313"
137,"24,220,370"
138,"340,341,455"
139,"3,40,154"
140,"21,40,418"
141,"3,56,112"
142,"169,311,436"
143,"108,301,418"
144,"12,265,418"
145,"10,11,220"
146,"3,4,7"
147,"8,296,405"
148,"64,79,524"
149,"160,196,334"
150,"40,135,295"
151,"169,223,271"
152,"4,7,19"
153,"270,418,456"
154,"17,40,168"
155,"26,231,418"
156,"40,131,142"
157,"10,44,496"
158,"21,40,127"
159,"1,199,311"
160,"8,26,418"
161,"8,25,82"
162,"40,155,216"
163,"3,21,200"
164,"214,291,498"
165,"0,128,288"
166,"64,90,214"
167,"10,64,323"
168,"11,44,418"
169,"21,40,324"
170,"54,145,184"
171,"3,21,200"
172,"8,296,370"
173,"3,4,19"
174,"34,187,311"
175,"128,288,418"
176,"10,64,80"
177,"40,64,418"
178,"3,5,21"
179,"26,89,418"
180,"3,21,127"
181,"3,66,154"
182,"59,340,418"
183,"3,21,56"
184,"214,271,288"
185,"10,49,418"
186,"271,372,449"
187,"40,295,374"
188,"64,323,448"
189,"169,214,216"
190,"43,64,323"
191,"169,199,259"
192,"40,128,184"
193,"23,40,105"
194,"214,216,311"
195,"169,311,431"
196,"44,64,418"
197,"3,21,127"
198,"40,131,142"
199,"8,214,216"
200,"10,24,64"
201,"43,141,323"
202,"3,53,418"
203,"3,4,7"
204,"43,64,323"
205,"169,199,259"
206,"43,64,323"
207,"8,23,91"
208,"44,64,335"
209,"64,79,524"
210,"3,53,270"
211,"8,235,270"
212,"214,340,418"
213,"3,68,182"
214,"49,297,455"
215,"43,64,323"
216,"3,31,32"
217,"40,71,91"
218,"21,40,187"
219,"40,160,196"
220,"214,418,461"
221,"214,216,271"
222,"4,7,19"
223,"40,104,169"
224,"127,160,329"
225,"13,40,204"
226,"64,80,323"
227,"10,40,64"
228,"5,6,133"
229,"17,21,40"
230,"44,145,220"
231,"3,21,340"
232,"357,455,498"
233,"3,17,200"
234,"40,131,145"
235,"40,131,159"
236,"3,30,104"
237,"64,296,455"
238,"10,24,220"
239,"43,323,418"
240,"313,355,456"
241,"271,456,498"
242,"151,152,494"
243,"40,131,159"
